# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: /home/gpaulino/training_fpga/lab_practices/Mercurio_IV_Lab_0_Programming_v21_1_1/labx1/quartus/Labx1.csv
# Generated on: Wed Oct 12 22:01:27 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
LEDM_C[0],Output,PIN_J7,1,B1_N2,PIN_J7,2.5 V,,,,,
LEDM_R[7],Output,PIN_H11,8,B8_N1,PIN_H11,2.5 V,,,,,
LEDM_R[6],Output,PIN_G8,8,B8_N3,PIN_G8,2.5 V,,,,,
LEDM_R[5],Output,PIN_F8,8,B8_N3,PIN_F8,2.5 V,,,,,
LEDM_R[4],Output,PIN_F9,8,B8_N3,PIN_F9,2.5 V,,,,,
LEDM_R[3],Output,PIN_G9,8,B8_N3,PIN_G9,2.5 V,,,,,
LEDM_R[2],Output,PIN_E9,8,B8_N1,PIN_E9,2.5 V,,,,,
LEDM_R[1],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
LEDM_R[0],Output,PIN_F10,8,B8_N2,PIN_F10,2.5 V,,,,,
SW[3],Input,PIN_Y22,5,B5_N3,PIN_Y22,2.5 V,,,,,
SW[2],Input,PIN_W21,5,B5_N2,PIN_W21,2.5 V,,,,,
SW[1],Input,PIN_W22,5,B5_N2,PIN_W22,2.5 V,,,,,
SW[0],Input,PIN_V21,5,B5_N2,PIN_V21,2.5 V,,,,,
UART_TXD,Output,PIN_C4,8,B8_N3,PIN_C4,2.5 V,,,,,
PROTO_A[7],Unknown,PIN_AA3,3,B3_N2,,,,,,,
PROTO_A[6],Unknown,PIN_AA4,3,B3_N2,,,,,,,
PROTO_A[5],Unknown,PIN_AA5,3,B3_N2,,,,,,,
PROTO_A[4],Unknown,PIN_AA7,3,B3_N1,,,,,,,
PROTO_A[3],Unknown,PIN_AA1,2,B2_N2,,,,,,,
PROTO_A[2],Unknown,PIN_AB3,3,B3_N2,,,,,,,
PROTO_A[1],Unknown,PIN_AB4,3,B3_N2,,,,,,,
PROTO_A[0],Unknown,PIN_AB5,3,B3_N2,,,,,,,
PROTO_B[7],Unknown,PIN_AA8,3,B3_N1,,,,,,,
PROTO_B[6],Unknown,PIN_AA9,3,B3_N1,,,,,,,
PROTO_B[5],Unknown,PIN_AA10,3,B3_N0,,,,,,,
PROTO_B[4],Unknown,PIN_Y10,3,B3_N0,,,,,,,
PROTO_B[3],Unknown,PIN_AB7,3,B3_N1,,,,,,,
PROTO_B[2],Unknown,PIN_AB8,3,B3_N1,,,,,,,
PROTO_B[1],Unknown,PIN_AB9,3,B3_N1,,,,,,,
PROTO_B[0],Unknown,PIN_AB10,3,B3_N0,,,,,,,
UART_RXD,Unknown,PIN_C3,8,B8_N3,,,,,,,
UART_CTS,Unknown,PIN_C7,8,B8_N1,,,,,,,
UART_RTS,Unknown,PIN_C6,8,B8_N2,,,,,,,
VGA_VS,Unknown,PIN_A17,7,B7_N1,,,,,,,
VGA_R[3],Unknown,PIN_B10,8,B8_N0,,,,,,,
VGA_R[2],Unknown,PIN_A10,8,B8_N0,,,,,,,
VGA_R[1],Unknown,PIN_C10,8,B8_N0,,,,,,,
VGA_R[0],Unknown,PIN_A9,8,B8_N0,,,,,,,
VGA_HS,Unknown,PIN_B16,7,B7_N2,,,,,,,
VGA_G[3],Unknown,PIN_A14,7,B7_N3,,,,,,,
VGA_G[2],Unknown,PIN_B13,7,B7_N3,,,,,,,
VGA_G[1],Unknown,PIN_A13,7,B7_N3,,,,,,,
VGA_G[0],Unknown,PIN_C13,7,B7_N3,,,,,,,
VGA_B[3],Unknown,PIN_A16,7,B7_N2,,,,,,,
VGA_B[2],Unknown,PIN_B15,7,B7_N3,,,,,,,
VGA_B[1],Unknown,PIN_A15,7,B7_N2,,,,,,,
VGA_B[0],Unknown,PIN_B14,7,B7_N3,,,,,,,
USB_WR,Unknown,PIN_B9,8,B8_N0,,,,,,,
USB_RD,Unknown,PIN_A8,8,B8_N0,,,,,,,
USB_D[7],Unknown,PIN_B6,8,B8_N1,,,,,,,
USB_D[6],Unknown,PIN_B7,8,B8_N1,,,,,,,
USB_D[5],Unknown,PIN_A6,8,B8_N1,,,,,,,
USB_D[4],Unknown,PIN_A4,8,B8_N2,,,,,,,
USB_D[3],Unknown,PIN_A7,8,B8_N1,,,,,,,
USB_D[2],Unknown,PIN_B5,8,B8_N2,,,,,,,
USB_D[1],Unknown,PIN_A5,8,B8_N2,,,,,,,
USB_D[0],Unknown,PIN_B4,8,B8_N3,,,,,,,
SD_D[3],Unknown,PIN_Y8,3,B3_N1,,,,,,,
SD_D[2],Unknown,PIN_W8,3,B3_N2,,,,,,,
SD_D[1],Unknown,PIN_Y6,3,B3_N3,,,,,,,
SD_D[0],Unknown,PIN_W6,3,B3_N2,,,,,,,
SD_CMD,Unknown,PIN_W7,3,B3_N2,,,,,,,
SD_CLK,Unknown,PIN_Y7,3,B3_N2,,,,,,,
I2C_SDA,Unknown,PIN_Y21,5,B5_N2,,,,,,,
I2C_SCL,Unknown,PIN_AA21,5,B5_N3,,,,,,,
ETH_TXEN,Unknown,PIN_C22,6,B6_N1,,,,,,,
ETH_TXD[3],Unknown,PIN_E22,6,B6_N1,,,,,,,
ETH_TXD[2],Unknown,PIN_E21,6,B6_N1,,,,,,,
ETH_TXD[1],Unknown,PIN_D22,6,B6_N1,,,,,,,
ETH_TXD[0],Unknown,PIN_D21,6,B6_N1,,,,,,,
ETH_RXER,Unknown,PIN_B21,6,B6_N0,,,,,,,
ETH_RXDV,Unknown,PIN_B20,7,B7_N1,,,,,,,
ETH_RXD[3],Unknown,PIN_B18,7,B7_N1,,,,,,,
ETH_RXD[2],Unknown,PIN_A19,7,B7_N1,,,,,,,
ETH_RXD[1],Unknown,PIN_B19,7,B7_N1,,,,,,,
ETH_RXD[0],Unknown,PIN_A20,7,B7_N0,,,,,,,
ETH_MDIO,Unknown,PIN_B17,7,B7_N2,,,,,,,
ETH_MDC,Unknown,PIN_A18,7,B7_N1,,,,,,,
ETH_CRS,Unknown,PIN_F21,6,B6_N2,,,,,,,
ETH_COL,Unknown,PIN_F22,6,B6_N2,,,,,,,
GPIO0_D[31],Unknown,PIN_T18,5,B5_N3,,,,,,,
GPIO0_D[30],Unknown,PIN_R18,5,B5_N1,,,,,,,
GPIO0_D[29],Unknown,PIN_R21,5,B5_N1,,,,,,,
GPIO0_D[28],Unknown,PIN_R22,5,B5_N1,,,,,,,
GPIO0_D[27],Unknown,PIN_R19,5,B5_N1,,,,,,,
GPIO0_D[26],Unknown,PIN_N18,5,B5_N0,,,,,,,
GPIO0_D[25],Unknown,PIN_P21,5,B5_N1,,,,,,,
GPIO0_D[24],Unknown,PIN_P22,5,B5_N1,,,,,,,
GPIO0_D[23],Unknown,PIN_N19,5,B5_N1,,,,,,,
GPIO0_D[22],Unknown,PIN_N20,5,B5_N1,,,,,,,
GPIO0_D[21],Unknown,PIN_K17,6,B6_N2,,,,,,,
GPIO0_D[20],Unknown,PIN_M20,5,B5_N0,,,,,,,
GPIO0_D[19],Unknown,PIN_N21,5,B5_N0,,,,,,,
GPIO0_D[18],Unknown,PIN_N22,5,B5_N0,,,,,,,
GPIO0_D[17],Unknown,PIN_M19,5,B5_N0,,,,,,,
GPIO0_D[16],Unknown,PIN_K19,6,B6_N3,,,,,,,
GPIO0_D[15],Unknown,PIN_M21,5,B5_N0,,,,,,,
GPIO0_D[14],Unknown,PIN_J18,6,B6_N2,,,,,,,
GPIO0_D[13],Unknown,PIN_L21,6,B6_N3,,,,,,,
GPIO0_D[12],Unknown,PIN_L22,6,B6_N3,,,,,,,
GPIO0_D[11],Unknown,PIN_H18,6,B6_N1,,,,,,,
GPIO0_D[10],Unknown,PIN_H20,6,B6_N1,,,,,,,
GPIO0_D[9],Unknown,PIN_K21,6,B6_N3,,,,,,,
GPIO0_D[8],Unknown,PIN_J21,6,B6_N3,,,,,,,
GPIO0_D[7],Unknown,PIN_H19,6,B6_N1,,,,,,,
GPIO0_D[6],Unknown,PIN_F20,6,B6_N1,,,,,,,
GPIO0_D[5],Unknown,PIN_J22,6,B6_N3,,,,,,,
GPIO0_D[4],Unknown,PIN_H21,6,B6_N2,,,,,,,
GPIO0_D[3],Unknown,PIN_F19,6,B6_N1,,,,,,,
GPIO0_D[2],Unknown,PIN_F16,7,B7_N0,,,,,,,
GPIO0_D[1],Unknown,PIN_H22,6,B6_N3,,,,,,,
GPIO0_D[0],Unknown,PIN_E16,7,B7_N0,,,,,,,
GPIO1_D[31],Unknown,PIN_T16,4,B4_N0,,,,,,,
GPIO1_D[30],Unknown,PIN_T17,5,B5_N3,,,,,,,
GPIO1_D[29],Unknown,PIN_R16,4,B4_N0,,,,,,,
GPIO1_D[28],Unknown,PIN_R20,5,B5_N2,,,,,,,
GPIO1_D[27],Unknown,PIN_R17,5,B5_N2,,,,,,,
GPIO1_D[26],Unknown,PIN_P20,5,B5_N1,,,,,,,
GPIO1_D[25],Unknown,PIN_P17,5,B5_N2,,,,,,,
GPIO1_D[24],Unknown,PIN_M16,5,B5_N0,,,,,,,
GPIO1_D[23],Unknown,PIN_J17,6,B6_N1,,,,,,,
GPIO1_D[22],Unknown,PIN_G16,7,B7_N0,,,,,,,
GPIO1_D[21],Unknown,PIN_H16,6,B6_N1,,,,,,,
GPIO1_D[20],Unknown,PIN_H17,6,B6_N1,,,,,,,
GPIO1_D[19],Unknown,PIN_G17,6,B6_N0,,,,,,,
GPIO1_D[18],Unknown,PIN_G18,6,B6_N1,,,,,,,
GPIO1_D[17],Unknown,PIN_F17,6,B6_N0,,,,,,,
GPIO1_D[16],Unknown,PIN_G15,7,B7_N0,,,,,,,
GPIO1_D[15],Unknown,PIN_D20,6,B6_N0,,,,,,,
GPIO1_D[14],Unknown,PIN_C19,7,B7_N0,,,,,,,
GPIO1_D[13],Unknown,PIN_D17,7,B7_N0,,,,,,,
GPIO1_D[12],Unknown,PIN_C17,7,B7_N1,,,,,,,
GPIO1_D[11],Unknown,PIN_E15,7,B7_N1,,,,,,,
GPIO1_D[10],Unknown,PIN_D15,7,B7_N1,,,,,,,
GPIO1_D[9],Unknown,PIN_C15,7,B7_N2,,,,,,,
GPIO1_D[8],Unknown,PIN_E14,7,B7_N2,,,,,,,
GPIO1_D[7],Unknown,PIN_F14,7,B7_N0,,,,,,,
GPIO1_D[6],Unknown,PIN_G13,7,B7_N1,,,,,,,
GPIO1_D[5],Unknown,PIN_F13,7,B7_N2,,,,,,,
GPIO1_D[4],Unknown,PIN_E13,7,B7_N3,,,,,,,
GPIO1_D[3],Unknown,PIN_D13,7,B7_N3,,,,,,,
GPIO1_D[2],Unknown,PIN_E12,7,B7_N3,,,,,,,
GPIO1_D[1],Unknown,PIN_F11,7,B7_N3,,,,,,,
GPIO1_D[0],Unknown,PIN_E11,7,B7_N3,,,,,,,
GPIO1_CLKOUT[1],Unknown,PIN_D19,7,B7_N0,,,,,,,
GPIO1_CLKOUT[0],Unknown,PIN_F15,7,B7_N0,,,,,,,
GPIO0_CLKOUT[1],Unknown,PIN_M22,5,B5_N0,,,,,,,
GPIO0_CLKOUT[0],Unknown,PIN_K18,6,B6_N2,,,,,,,
SMA_CLKOUT,Unknown,PIN_E6,8,B8_N3,,,,,,,
SDRAM_D[15],Unknown,PIN_E4,1,B1_N0,,,,,,,
SDRAM_D[14],Unknown,PIN_G5,1,B1_N0,,,,,,,
SDRAM_D[13],Unknown,PIN_G4,1,B1_N0,,,,,,,
SDRAM_D[12],Unknown,PIN_G3,1,B1_N0,,,,,,,
SDRAM_D[11],Unknown,PIN_J3,1,B1_N3,,,,,,,
SDRAM_D[10],Unknown,PIN_H5,1,B1_N2,,,,,,,
SDRAM_D[9],Unknown,PIN_H6,1,B1_N1,,,,,,,
SDRAM_D[8],Unknown,PIN_J2,1,B1_N3,,,,,,,
SDRAM_D[7],Unknown,PIN_F1,1,B1_N1,,,,,,,
SDRAM_D[6],Unknown,PIN_F2,1,B1_N1,,,,,,,
SDRAM_D[5],Unknown,PIN_E3,1,B1_N0,,,,,,,
SDRAM_D[4],Unknown,PIN_D2,1,B1_N1,,,,,,,
SDRAM_D[3],Unknown,PIN_C1,1,B1_N1,,,,,,,
SDRAM_D[2],Unknown,PIN_C2,1,B1_N1,,,,,,,
SDRAM_D[1],Unknown,PIN_B1,1,B1_N0,,,,,,,
SDRAM_D[0],Unknown,PIN_B2,1,B1_N0,,,,,,,
SDRAM_CLK,Unknown,PIN_E5,8,B8_N3,,,,,,,
SDRAM_CKE,Unknown,PIN_M5,2,B2_N0,,,,,,,
SDRAM_BA[1],Unknown,PIN_H2,1,B1_N3,,,,,,,
SDRAM_BA[0],Unknown,PIN_J4,1,B1_N3,,,,,,,
SDRAM_A[11],Unknown,PIN_M3,2,B2_N0,,,,,,,
SDRAM_A[10],Unknown,PIN_P1,2,B2_N0,,,,,,,
SDRAM_A[9],Unknown,PIN_M2,2,B2_N0,,,,,,,
SDRAM_A[8],Unknown,PIN_N1,2,B2_N0,,,,,,,
SDRAM_A[7],Unknown,PIN_M4,2,B2_N0,,,,,,,
SDRAM_A[6],Unknown,PIN_N5,2,B2_N1,,,,,,,
SDRAM_A[5],Unknown,PIN_P5,2,B2_N1,,,,,,,
SDRAM_A[4],Unknown,PIN_P4,2,B2_N1,,,,,,,
SDRAM_A[3],Unknown,PIN_R2,2,B2_N0,,,,,,,
SDRAM_A[2],Unknown,PIN_P3,2,B2_N1,,,,,,,
SDRAM_A[1],Unknown,PIN_R1,2,B2_N0,,,,,,,
SDRAM_A[0],Unknown,PIN_P2,2,B2_N0,,,,,,,
CLOCK1_50MHz,Unknown,PIN_T2,2,B2_N0,,,,,,,
GPIO0_CLKIN[1],Unknown,PIN_G22,6,B6_N3,,,,,,,
GPIO0_CLKIN[0],Unknown,PIN_G21,6,B6_N3,,,,,,,
SMA_CLKIN,Unknown,PIN_A12,7,B7_N3,,,,,,,
SMA_CLKIN1,Unknown,PIN_B12,7,B7_N3,,,,,,,
GPIO1_CLKIN[1],Unknown,PIN_B11,8,B8_N0,,,,,,,
GPIO1_CLKIN[0],Unknown,PIN_A11,8,B8_N0,,,,,,,
DISP1_D[7],Unknown,PIN_P6,2,B2_N3,,,,,,,
DISP1_D[6],Unknown,PIN_N6,2,B2_N1,,,,,,,
DISP1_D[5],Unknown,PIN_N7,2,B2_N2,,,,,,,
DISP1_D[4],Unknown,PIN_M6,2,B2_N0,,,,,,,
DISP1_D[3],Unknown,PIN_T4,2,B2_N3,,,,,,,
DISP1_D[2],Unknown,PIN_T3,2,B2_N2,,,,,,,
DISP1_D[1],Unknown,PIN_T5,2,B2_N3,,,,,,,
DISP1_D[0],Unknown,PIN_R5,2,B2_N3,,,,,,,
DISP0_D[7],Unknown,PIN_W1,2,B2_N2,,,,,,,
DISP0_D[6],Unknown,PIN_W2,2,B2_N2,,,,,,,
DISP0_D[5],Unknown,PIN_Y1,2,B2_N2,,,,,,,
DISP0_D[4],Unknown,PIN_Y2,2,B2_N2,,,,,,,
DISP0_D[3],Unknown,PIN_U1,2,B2_N1,,,,,,,
DISP0_D[2],Unknown,PIN_U2,2,B2_N1,,,,,,,
DISP0_D[1],Unknown,PIN_V1,2,B2_N1,,,,,,,
DISP0_D[0],Unknown,PIN_V2,2,B2_N1,,,,,,,
ADC_CNVST,Unknown,PIN_AB18,4,B4_N1,,,,,,,
ADC_CS_N,Unknown,PIN_AA17,4,B4_N1,,,,,,,
ADC_DOUT1,Unknown,PIN_AB19,4,B4_N1,,,,,,,
ADC_DOUT2,Unknown,PIN_AA19,4,B4_N1,,,,,,,
ADC_REFSEL,Unknown,PIN_AB17,4,B4_N1,,,,,,,
ADC_SCLK,Unknown,PIN_AA18,4,B4_N1,,,,,,,
ADC_SD,Unknown,PIN_AA16,4,B4_N2,,,,,,,
ADC_SEL,Unknown,PIN_AB16,4,B4_N2,,,,,,,
ADC_UB,Unknown,PIN_AB20,4,B4_N0,,,,,,,
CLOCK2_50MHz,Unknown,PIN_T21,5,B5_N0,,,,,,,
CLOCK3_50MHz,Unknown,PIN_T22,5,B5_N0,,,,,,,
DAC_CLR,Unknown,PIN_AA15,4,B4_N3,,,,,,,
DAC_CS_N,Unknown,PIN_AB15,4,B4_N3,,,,,,,
DAC_DIN,Unknown,PIN_AB14,4,B4_N3,,,,,,,
DAC_SCLK,Unknown,PIN_AA14,4,B4_N3,,,,,,,
ETH_RST_N,Unknown,PIN_G11,8,B8_N0,,,,,,,
ETH_RXCLK,Unknown,PIN_C20,6,B6_N0,,,,,,,
ETH_TXCLK,Unknown,PIN_C21,6,B6_N0,,,,,,,
ETH_TXER,Unknown,PIN_B22,6,B6_N0,,,,,,,
FLASH_ASDO,Unknown,PIN_D1,1,B1_N1,,,,,,,
FLASH_CS0_N,Unknown,PIN_E2,1,B1_N1,,,,,,,
FLASH_DATA0,Unknown,PIN_K1,1,B1_N3,,,,,,,
FLASH_DCLK,Unknown,PIN_K2,1,B1_N3,,,,,,,
I2C_OVERTEMP_N,Unknown,PIN_AA20,4,B4_N0,,,,,,,
SD_CD_N,Unknown,PIN_U7,3,B3_N3,,,,,,,
SDRAM_A[12],Unknown,PIN_L6,2,B2_N0,,,,,,,
SDRAM_CAS_N,Unknown,PIN_M1,2,B2_N0,,,,,,,
SDRAM_CS_N,Unknown,PIN_H1,1,B1_N3,,,,,,,
SDRAM_DQM[0],Unknown,PIN_E1,1,B1_N1,,,,,,,
SDRAM_DQM[1],Unknown,PIN_J5,1,B1_N2,,,,,,,
SDRAM_RAS_N,Unknown,PIN_N2,2,B2_N0,,,,,,,
SDRAM_WE_N,Unknown,PIN_J1,1,B1_N3,,,,,,,
USB_POWEREN_N,Unknown,PIN_B8,8,B8_N1,,,,,,,
USB_RXF_N,Unknown,PIN_A3,8,B8_N3,,,,,,,
USB_TXE_N,Unknown,PIN_B3,8,B8_N3,,,,,,,
